"row ID","Document","Sentence","Number of terms","Pre-processed"
"Row2615","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","PLoS  e0229594",2,"plos  e0229594"
"Row2616","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","CrossRef PubMed",2,"crossref pubmed"
"Row2617","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Parijat P Lockhart T Virtual Reality Gait Training Tool Adults",10,"parijat p lockhart t virtual reality gait training tool adults"
"Row2618","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Proc",1,"proc"
"Row2619","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Hum",1,"hum"
"Row2620","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Factors Ergon",2,"factors ergon"
"Row2621","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Soc",1,"soc"
"Row2622","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Annu",1,"annu"
"Row2623","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Meet",1,"meet"
"Row2624","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","157–161",1,"157–161"
"Row2625","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","CrossRef",1,"crossref"
"Row2626","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Parijat P Lockhart TE Liu J EMG kinematic responses unexpected slips slip training virtual reality",15,"parijat p lockhart te liu j emg kinematic responses unexpected slips slip training virtual reality"
"Row2627","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","IEEE Trans",2,"ieee trans"
"Row2628","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Bio-Med",1,"bio-med"
"Row2629","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Eng",1,"eng"
"Row2630","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","593–599",1,"593–599"
"Row2631","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","CrossRef PubMed",2,"crossref pubmed"
"Row2632","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Phu S Vogrin S Al Saedi A Duque G Balance training using virtual reality improves balance physical performance adults risk falls",21,"phu s vogrin s al saedi a duque g balance training using virtual reality improves balance physical performance adults risk falls"
"Row2633","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Clin",1,"clin"
"Row2634","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Interv",1,"interv"
"Row2635","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Aging  1567–1577",2,"aging  1567–1577"
"Row2636","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","CrossRef PubMed",2,"crossref pubmed"
"Row2637","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Rebêlo FL de Souza Silva LF Doná F Barreto AS Quintans JdSS Immersive virtual reality effective rehabilitation
adults balance disorders randomized clinical trial",23,"rebêlo fl de souza silva lf doná f barreto as quintans jdss immersive virtual reality effective rehabilitation
adults balance disorders randomized clinical trial"
"Row2638","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Exp",1,"exp"
"Row2639","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Gerontol",1,"gerontol"
"Row2640","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","CrossRef PubMed",2,"crossref pubmed"
"Row2641","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Rutkowski S Szczegielniak J Szczepańska-Gieracha J Evaluation efficacy immersive virtual reality therapy method supporting pulmonary rehabilitation randomized controlled trial",19,"rutkowski s szczegielniak j szczepańska-gieracha j evaluation efficacy immersive virtual reality therapy method supporting pulmonary rehabilitation randomized controlled trial"
"Row2642","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","J Clin",2,"j clin"
"Row2643","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Med",1,"med"
"Row2644","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","CrossRef",1,"crossref"
"Row2645","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Sakhare A Stradford J Ravichandran R Deng R Ruiz J Subramanian K Suh J Pa J Simultaneous Exercise Cognitive
Training Virtual Reality Phase Pilot Study Impact Brain Health Cognition Adults",30,"sakhare a stradford j ravichandran r deng r ruiz j subramanian k suh j pa j simultaneous exercise cognitive
training virtual reality phase pilot study impact brain health cognition adults"
"Row2646","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Brain Plast",2,"brain plast"
"Row2647","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","111–130",1,"111–130"
"Row2648","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","CrossRef",1,"crossref"
"Row2649","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Saldana SJ Marsh AP Rejeski WJ Haberl JK Wu P Rosenthal S Ip EH Assessing balance low-cost
head-mounted display adults pilot study",22,"saldana sj marsh ap rejeski wj haberl jk wu p rosenthal s ip eh assessing balance low-cost
head-mounted display adults pilot study"
"Row2650","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Clin",1,"clin"
"Row2651","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Interv",1,"interv"
"Row2652","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","Aging  1363–1370",2,"aging  1363–1370"
"Row2653","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","CrossRef

httpdoiorg103390s22093302",4,"crossref

httpdoiorg103390s22093302"
"Row2654","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpwwwncbinlmnihgovpubmed35590992",4,"httpwwwncbinlmnihgovpubmed35590992"
"Row2655","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg103390jcm11133911",3,"httpdoiorg103390jcm11133911"
"Row2656","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpwwwncbinlmnihgovpubmed35807196",4,"httpwwwncbinlmnihgovpubmed35807196"
"Row2657","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg103390s22186742",3,"httpdoiorg103390s22186742"
"Row2658","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpwwwncbinlmnihgovpubmed36146092",4,"httpwwwncbinlmnihgovpubmed36146092"
"Row2659","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg101186s12984-019-0601-1",3,"httpdoiorg101186s12984-019-0601-1"
"Row2660","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg101089cpb20069137
httpdoiorg101007s10055-021-00544-z",6,"httpdoiorg101089cpb20069137
httpdoiorg101007s10055-021-00544-z"
"Row2661","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg103390cells8050419",3,"httpdoiorg103390cells8050419"
"Row2662","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg103390jcm9051283",3,"httpdoiorg103390jcm9051283"
"Row2663","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg101589jptshttpdoiorg101016jbjorl202108010
httpdoiorg101186s12984-017-0225-2",9,"httpdoiorg101589jptshttpdoiorg101016jbjorl202108010
httpdoiorg101186s12984-017-0225-2"
"Row2664","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg102147CIAS375754
httpdoiorg103390soc11040134",6,"httpdoiorg102147cias375754
httpdoiorg103390soc11040134"
"Row2665","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg103390su12219106",3,"httpdoiorg103390su12219106"
"Row2666","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg105507ag2022007",3,"httpdoiorg105507ag2022007"
"Row2667","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg101038s41598-022-08917-3",3,"httpdoiorg101038s41598-022-08917-3"
"Row2668","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpwwwncbinlmnihgovpubmed35322080",4,"httpwwwncbinlmnihgovpubmed35322080"
"Row2669","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg101016jarchger201905008
httpwwwncbinlmnihgovpubmed31102927",7,"httpdoiorg101016jarchger201905008
httpwwwncbinlmnihgovpubmed31102927"
"Row2670","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg101371journalpone",4,"httpdoiorg101371journalpone"
"Row2671","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpwwwncbinlmnihgovpubmed32168361",4,"httpwwwncbinlmnihgovpubmed32168361"
"Row2672","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg1011771071181311551033",3,"httpdoiorg1011771071181311551033"
"Row2673","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg101109TBME20142361324",3,"httpdoiorg101109tbme20142361324"
"Row2674","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpwwwncbinlmnihgovpubmed25296401",4,"httpwwwncbinlmnihgovpubmed25296401"
"Row2675","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg102147CIAS220890
httpwwwncbinlmnihgovpubmed31695345",7,"httpdoiorg102147cias220890
httpwwwncbinlmnihgovpubmed31695345"
"Row2676","""Acceptability Feasibility Effectiveness Immersive Virtual Technologies Promote Exercise Adults Systematic Review Meta-Analysis""","httpdoiorg101016jexger2021111308",3,"httpdoiorg101016jexger2021111308"
